pair,version,quality,workload,fps,cpuP50,cpuP95,gapP95,inputSubmissionP95,uploadKiB
3,baseline,high,revealed-idle,60.02712188897763,4.700000002980232,7,18.700000002980232,,895.001953125
3,baseline,high,revealed-touch,59.95132664572011,5.400000002235174,7.399999998509884,18.599999997764826,30,890.0687074566831
3,baseline,high,revealed-touch-cpu4,30.333134644678456,30.5,39.80000000074506,42.900000002235174,140.30000000074506,889.9618074508734
3,candidate,medium,opening-touch,59.83559923880396,2.600000001490116,3.699999999254942,17.799999997019768,28,180.3437243852459
3,candidate,medium,revealed-idle,60.030713388227305,3.800000000745058,5.099999997764826,18.100000001490116,,311.568359375
3,candidate,medium,revealed-touch,59.71447779493198,4.399999998509884,6,18.099999997764826,21.900000002235174,345.08470871274835
3,candidate,medium,revealed-touch-cpu4,53.30830263532152,16.099999997764826,24.199999999254942,26.800000000745058,81.80000000074506,328.97982636004986
3,baseline,medium,opening-touch,59.91339252169248,2.899999998509884,4.300000000745058,17.800000000745058,28.5,294.0988165222772
3,baseline,medium,revealed-idle,60.04867733310269,4.700000002980232,6.5,18.399999998509884,,802.361328125
3,baseline,medium,revealed-touch,59.99801331081752,5,7.699999999254942,18.400000002235174,29.300000000745058,793.9300367342715
3,baseline,medium,revealed-touch-cpu4,33.79321192808793,27.199999999254942,36.69999999925494,39.30000000074506,123.39999999850988,793.653246996997
3,candidate,clarity,opening-touch,39.7358733126978,2.699999999254942,3.800000000745058,26.400000002235174,27.699999999254942,175.9429381127451
3,candidate,clarity,revealed-idle,39.94647172789058,3.800000000745058,5.200000002980232,26.5,,311.240234375
3,candidate,clarity,revealed-touch,40.08775428799362,4.800000000745058,6.100000001490116,26.199999999254942,29.900000002235174,339.34529500932837
3,candidate,clarity,revealed-touch-cpu4,39.91441548528428,17.699999999254942,22.399999998509884,29.300000000745058,58.5,337.3481644298589
3,baseline,clarity,opening-touch,39.99128902614092,3.2999999970197678,5.5,26.400000002235174,29.399999998509884,271.3415068069307
3,baseline,clarity,revealed-idle,40.09335168451322,4.699999999254942,6.100000001490116,26.700000002980232,,741.001953125
3,baseline,clarity,revealed-touch,39.927693132822256,5.300000000745058,7,26.700000002980232,31.199999999254942,734.5996385261194
3,baseline,clarity,revealed-touch-cpu4,37.05010585744987,24.899999998509884,32.399999998509884,35.19999999925494,112.79999999701977,735.098388671875
4,baseline,high,opening-touch,59.80459883548801,3.2999999970197678,4.300000000745058,17.600000001490116,28.799999997019768,313.84037231848185
4,baseline,high,revealed-idle,60.06425478417881,4.699999999254942,7,19,,895.001953125
4,baseline,high,revealed-touch,60.02329851719642,5.300000000745058,7.300000000745058,18.199999999254942,30,890.1515406558389
4,baseline,high,revealed-touch-cpu4,32.45491293532573,28.600000001490116,35.20000000298023,38.100000001490116,127.70000000298023,890.0278671173279
4,candidate,high,opening-touch,59.40324088502815,2.7999999970197678,3.5,17.699999999254942,27.5,184.90211321721313
4,candidate,high,revealed-idle,60.009170836756994,3.5,5.099999997764826,17.800000000745058,,321.302734375
4,candidate,high,revealed-touch,59.9350869158587,5.199999999254942,6.400000002235174,18.099999997764826,30,365.3542813019103
4,candidate,high,revealed-touch-cpu4,52.86841069686056,16.600000001490116,24.599999997764826,27.099999997764826,79.69999999925494,342.11445059668284
4,baseline,medium,opening-touch,59.922871551468404,2.900000002235174,4.399999998509884,17.800000000745058,28.799999997019768,294.0988165222772
4,baseline,medium,revealed-idle,60.059460861592825,4,5.400000002235174,18.5,,802.361328125
4,baseline,medium,revealed-touch,59.95060548118932,4.699999999254942,6.400000002235174,18.199999999254942,29.899999998509884,793.9020257994187
4,baseline,medium,revealed-touch-cpu4,34.93477602985638,26.399999998509884,34.399999998509884,36.900000002235174,116.40000000223517,793.6060505319149
4,candidate,medium,opening-touch,59.76599762494296,2.399999998509884,3.300000000745058,18,27.599999997764826,180.2887825732899
4,candidate,medium,revealed-idle,60.040292821086965,3.300000000745058,5,17.800000000745058,,311.568359375
4,candidate,medium,revealed-touch,60.06125452449082,4.400000002235174,6,17.899999998509884,29.5,345.0872438948675
4,candidate,medium,revealed-touch-cpu4,50.48393341076268,17.399999998509884,24.600000001490116,27.699999999254942,87.29999999701977,324.50710554064415
4,baseline,clarity,opening-touch,40.104310719500994,3.100000001490116,4.900000002235174,26.399999998509884,28.200000002980232,271.39453125
4,baseline,clarity,revealed-idle,40.1109536828122,4.699999999254942,6.800000000745058,26.5,,741.001953125
4,baseline,clarity,revealed-touch,39.91720875222312,6.199999999254942,9.199999999254942,27,40.399999998509884,735.4097764756945
4,baseline,clarity,revealed-touch-cpu4,26.91505376790183,32.900000002235174,53.400000002235174,57.899999998509884,172.39999999850988,734.6820499085131
4,candidate,clarity,opening-touch,39.727361246348586,2.800000000745058,4,26.399999998509884,27.899999998509884,175.79067095588235
4,candidate,clarity,revealed-idle,39.867639437057086,3.399999998509884,4.599999997764826,26.5,,311.240234375
4,candidate,clarity,revealed-touch,40.029474438884385,4,5.199999999254942,26.600000001490116,28.800000000745058,339.90449121579604
4,candidate,clarity,revealed-touch-cpu4,39.875649489742216,18.700000002980232,24.899999998509884,30.599999997764826,78.59999999776483,334.70378680268595
